  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.521 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3121   0.00766   0.00240  -0.0546   0.8920   0.0627
  -4.900  -0.3011   0.00758   0.00234  -0.0545   0.8882   0.0658
  -4.800  -0.2901   0.00752   0.00228  -0.0545   0.8840   0.0685
  -4.700  -0.2791   0.00748   0.00223  -0.0544   0.8797   0.0704
  -4.600  -0.2681   0.00741   0.00216  -0.0543   0.8758   0.0745
  -4.500  -0.2571   0.00734   0.00211  -0.0543   0.8715   0.0782
  -4.400  -0.2460   0.00730   0.00206  -0.0542   0.8668   0.0810
  -4.300  -0.2351   0.00724   0.00200  -0.0541   0.8624   0.0853
  -4.200  -0.2240   0.00718   0.00195  -0.0541   0.8582   0.0896
  -4.100  -0.2128   0.00713   0.00190  -0.0541   0.8535   0.0930
  -4.000  -0.2018   0.00708   0.00185  -0.0540   0.8485   0.0979
  -3.900  -0.1909   0.00702   0.00180  -0.0539   0.8438   0.1031
  -3.800  -0.1797   0.00698   0.00175  -0.0539   0.8390   0.1070
  -3.700  -0.1687   0.00691   0.00171  -0.0539   0.8338   0.1136
  -3.600  -0.1577   0.00688   0.00166  -0.0538   0.8287   0.1187
  -3.500  -0.1465   0.00683   0.00162  -0.0538   0.8239   0.1241
  -3.400  -0.1355   0.00677   0.00158  -0.0537   0.8183   0.1311
  -3.200  -0.1134   0.00668   0.00150  -0.0536   0.8076   0.1444
  -3.100  -0.1022   0.00665   0.00147  -0.0536   0.8018   0.1502
  -3.000  -0.0913   0.00660   0.00143  -0.0535   0.7961   0.1582
  -2.900  -0.0801   0.00656   0.00140  -0.0535   0.7908   0.1656
  -2.800  -0.0691   0.00651   0.00136  -0.0535   0.7846   0.1742
  -2.700  -0.0581   0.00649   0.00133  -0.0534   0.7787   0.1813
  -2.600  -0.0469   0.00643   0.00130  -0.0534   0.7731   0.1904
  -2.400  -0.0249   0.00636   0.00125  -0.0533   0.7610   0.2085
  -2.300  -0.0137   0.00632   0.00122  -0.0533   0.7546   0.2171
  -2.200  -0.0027   0.00629   0.00120  -0.0532   0.7481   0.2271
  -2.100   0.0084   0.00625   0.00118  -0.0532   0.7422   0.2369
  -1.900   0.0305   0.00620   0.00114  -0.0531   0.7291   0.2575
  -1.800   0.0417   0.00616   0.00112  -0.0531   0.7228   0.2678
  -1.700   0.0528   0.00614   0.00110  -0.0531   0.7160   0.2789
  -1.600   0.0638   0.00610   0.00109  -0.0530   0.7099   0.2903
  -1.500   0.0749   0.00607   0.00107  -0.0530   0.7029   0.3020
  -1.400   0.0859   0.00605   0.00106  -0.0529   0.6963   0.3140
  -1.300   0.0970   0.00601   0.00105  -0.0529   0.6898   0.3273
  -1.200   0.1081   0.00598   0.00103  -0.0529   0.6829   0.3399
  -1.100   0.1191   0.00596   0.00102  -0.0529   0.6767   0.3527
  -1.000   0.1302   0.00592   0.00101  -0.0528   0.6696   0.3670
  -0.900   0.1411   0.00590   0.00100  -0.0528   0.6628   0.3829
  -0.800   0.1522   0.00585   0.00100  -0.0528   0.6563   0.3997
  -0.700   0.1631   0.00581   0.00099  -0.0527   0.6495   0.4190
  -0.600   0.1740   0.00576   0.00098  -0.0527   0.6431   0.4415
  -0.500   0.1849   0.00571   0.00098  -0.0526   0.6360   0.4629
  -0.400   0.1957   0.00567   0.00098  -0.0526   0.6294   0.4855
  -0.300   0.2067   0.00562   0.00098  -0.0525   0.6230   0.5082
  -0.200   0.2176   0.00559   0.00098  -0.0525   0.6160   0.5292
  -0.100   0.2286   0.00555   0.00099  -0.0524   0.6098   0.5502
   0.000   0.2395   0.00552   0.00099  -0.0524   0.6031   0.5700
   0.100   0.2503   0.00549   0.00100  -0.0523   0.5966   0.5894
   0.200   0.2614   0.00546   0.00101  -0.0523   0.5904   0.6087
   0.300   0.2722   0.00544   0.00102  -0.0522   0.5836   0.6280
   0.400   0.2832   0.00542   0.00103  -0.0521   0.5777   0.6462
   0.500   0.2942   0.00539   0.00104  -0.0521   0.5714   0.6651
   0.600   0.3049   0.00539   0.00105  -0.0520   0.5648   0.6836
   0.700   0.3159   0.00536   0.00106  -0.0519   0.5589   0.7019
   0.800   0.3268   0.00534   0.00108  -0.0518   0.5527   0.7194
   0.900   0.3375   0.00533   0.00110  -0.0517   0.5470   0.7369
   1.000   0.3484   0.00531   0.00111  -0.0516   0.5412   0.7541
   1.100   0.3591   0.00529   0.00113  -0.0515   0.5350   0.7723
   1.200   0.3698   0.00528   0.00115  -0.0514   0.5295   0.7894
   1.300   0.3806   0.00526   0.00117  -0.0512   0.5240   0.8065
   1.400   0.3911   0.00526   0.00120  -0.0510   0.5179   0.8232
   1.500   0.4017   0.00526   0.00122  -0.0509   0.5127   0.8396
   1.700   0.4226   0.00526   0.00127  -0.0504   0.5015   0.8705
   1.800   0.4330   0.00526   0.00130  -0.0502   0.4966   0.8846
   1.900   0.4433   0.00526   0.00133  -0.0499   0.4911   0.8985
   2.000   0.4535   0.00528   0.00136  -0.0496   0.4856   0.9106
   2.100   0.4639   0.00531   0.00139  -0.0494   0.4805   0.9223
   2.200   0.4741   0.00532   0.00142  -0.0491   0.4755   0.9332
   2.300   0.4845   0.00536   0.00145  -0.0488   0.4699   0.9425
   2.400   0.4951   0.00540   0.00148  -0.0486   0.4647   0.9514
   2.500   0.5064   0.00543   0.00151  -0.0486   0.4595   0.9584
   2.600   0.5179   0.00548   0.00154  -0.0486   0.4537   0.9651
   2.700   0.5295   0.00553   0.00157  -0.0486   0.4483   0.9707
   2.800   0.5427   0.00557   0.00159  -0.0491   0.4427   0.9748
   2.900   0.5552   0.00563   0.00163  -0.0493   0.4365   0.9791
   3.000   0.5672   0.00568   0.00166  -0.0495   0.4310   0.9831
   3.100   0.5816   0.00573   0.00168  -0.0502   0.4246   0.9852
   3.300   0.6090   0.00585   0.00175  -0.0513   0.4116   0.9895
   3.400   0.6227   0.00592   0.00179  -0.0519   0.4041   0.9914
   3.500   0.6362   0.00598   0.00183  -0.0524   0.3975   0.9931
   3.600   0.6504   0.00605   0.00186  -0.0531   0.3894   0.9941
   3.700   0.6651   0.00612   0.00190  -0.0539   0.3816   0.9950
   3.800   0.6798   0.00620   0.00194  -0.0547   0.3726   0.9959
   3.900   0.6945   0.00628   0.00199  -0.0555   0.3641   0.9970
   4.000   0.7091   0.00638   0.00203  -0.0563   0.3542   0.9980
   4.100   0.7240   0.00646   0.00208  -0.0572   0.3452   0.9991
   4.200   0.7390   0.00656   0.00213  -0.0581   0.3353   1.0000
   4.300   0.7487   0.00664   0.00217  -0.0578   0.3266   1.0000
   4.400   0.7579   0.00672   0.00222  -0.0574   0.3181   1.0000
   4.500   0.7672   0.00681   0.00227  -0.0570   0.3090   1.0000
   4.600   0.7765   0.00690   0.00232  -0.0566   0.3004   1.0000
   4.700   0.7855   0.00701   0.00238  -0.0562   0.2904   1.0000
   4.800   0.7949   0.00709   0.00243  -0.0559   0.2813   1.0000
   4.900   0.8040   0.00720   0.00250  -0.0555   0.2723   1.0000
   5.000   0.8131   0.00731   0.00256  -0.0551   0.2620   1.0000
   5.100   0.8224   0.00741   0.00262  -0.0547   0.2529   1.0000
   5.200   0.8315   0.00754   0.00269  -0.0543   0.2428   1.0000
