  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.982 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5502   0.00681   0.00213  -0.0024   0.9294   0.0907
  -4.800  -0.5288   0.00669   0.00203  -0.0022   0.9198   0.0991
  -4.700  -0.5182   0.00661   0.00197  -0.0021   0.9141   0.1052
  -4.600  -0.5075   0.00657   0.00192  -0.0019   0.9084   0.1091
  -4.500  -0.4967   0.00649   0.00186  -0.0018   0.9033   0.1160
  -4.400  -0.4859   0.00643   0.00181  -0.0017   0.8970   0.1210
  -4.300  -0.4752   0.00638   0.00176  -0.0016   0.8907   0.1270
  -4.200  -0.4643   0.00631   0.00171  -0.0015   0.8846   0.1340
  -4.100  -0.4535   0.00626   0.00166  -0.0014   0.8778   0.1402
  -4.000  -0.4427   0.00619   0.00161  -0.0013   0.8714   0.1479
  -3.900  -0.4317   0.00615   0.00157  -0.0013   0.8640   0.1531
  -3.800  -0.4211   0.00609   0.00152  -0.0012   0.8571   0.1616
  -3.700  -0.4100   0.00604   0.00148  -0.0011   0.8498   0.1692
  -3.500  -0.3883   0.00594   0.00140  -0.0010   0.8345   0.1846
  -3.400  -0.3775   0.00588   0.00136  -0.0009   0.8261   0.1937
  -3.300  -0.3665   0.00584   0.00132  -0.0008   0.8188   0.2019
  -3.200  -0.3556   0.00579   0.00128  -0.0007   0.8098   0.2107
  -3.100  -0.3446   0.00574   0.00124  -0.0007   0.8021   0.2192
  -3.000  -0.3337   0.00571   0.00121  -0.0006   0.7932   0.2279
  -2.900  -0.3227   0.00565   0.00117  -0.0006   0.7850   0.2378
  -2.800  -0.3117   0.00563   0.00115  -0.0005   0.7761   0.2457
  -2.700  -0.3007   0.00558   0.00111  -0.0005   0.7676   0.2555
  -2.600  -0.2897   0.00555   0.00109  -0.0004   0.7583   0.2651
  -2.500  -0.2786   0.00551   0.00106  -0.0004   0.7497   0.2743
  -2.400  -0.2676   0.00548   0.00103  -0.0004   0.7400   0.2832
  -2.300  -0.2565   0.00545   0.00101  -0.0003   0.7309   0.2915
  -2.200  -0.2455   0.00541   0.00098  -0.0003   0.7216   0.3028
  -2.100  -0.2344   0.00539   0.00096  -0.0003   0.7125   0.3118
  -2.000  -0.2233   0.00536   0.00094  -0.0002   0.7036   0.3225
