  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2944   0.06440   0.06097  -0.1237   0.5656   0.0143
  -4.900   0.2951   0.06368   0.06023  -0.1232   0.5581   0.0142
  -4.800   0.2971   0.06309   0.05961  -0.1229   0.5503   0.0143
  -4.700   0.2988   0.06227   0.05876  -0.1227   0.5444   0.0145
  -4.600   0.3009   0.06144   0.05793  -0.1226   0.5389   0.0146
  -4.500   0.3027   0.06061   0.05708  -0.1225   0.5333   0.0148
  -4.400   0.3047   0.05981   0.05626  -0.1224   0.5281   0.0148
  -4.300   0.3070   0.05855   0.05500  -0.1231   0.5244   0.0152
  -4.200   0.3103   0.05714   0.05359  -0.1243   0.5208   0.0154
  -4.100   0.3145   0.05613   0.05257  -0.1250   0.5162   0.0154
  -4.000   0.3200   0.05442   0.05084  -0.1270   0.5125   0.0155
  -3.900   0.3257   0.05318   0.04959  -0.1282   0.5083   0.0156
  -3.800   0.3329   0.05175   0.04815  -0.1300   0.5052   0.0156
  -3.700   0.3410   0.05034   0.04673  -0.1318   0.5017   0.0156
  -3.600   0.3499   0.04885   0.04523  -0.1339   0.4977   0.0156
  -3.500   0.3597   0.04737   0.04372  -0.1362   0.4939   0.0156
  -3.400   0.3719   0.04547   0.04180  -0.1395   0.4901   0.0157
  -3.300   0.3857   0.04362   0.03991  -0.1430   0.4866   0.0157
  -3.200   0.7561   0.01355   0.00757  -0.2558   0.4675   0.0152
  -3.100   0.7727   0.01335   0.00728  -0.2570   0.4642   0.0154
  -3.000   0.7877   0.01324   0.00709  -0.2578   0.4607   0.0155
  -2.800   0.8267   0.01259   0.00624  -0.2616   0.4524   0.0161
  -2.700   0.8418   0.01248   0.00609  -0.2625   0.4483   0.0163
  -2.600   0.8556   0.01241   0.00601  -0.2630   0.4458   0.0167
  -2.500   0.8687   0.01237   0.00595  -0.2634   0.4428   0.0170
  -2.400   0.8819   0.01234   0.00589  -0.2638   0.4396   0.0175
  -2.300   0.8952   0.01231   0.00581  -0.2642   0.4364   0.0180
  -2.200   0.9082   0.01230   0.00574  -0.2645   0.4330   0.0185
  -2.100   0.9202   0.01234   0.00571  -0.2646   0.4295   0.0188
  -2.000   0.9403   0.01205   0.00539  -0.2666   0.4273   0.0195
