  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2222                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3170   0.01030   0.00390  -0.0391   0.6740   0.1559
  -4.900  -0.3073   0.01025   0.00384  -0.0388   0.6689   0.1598
  -4.800  -0.2971   0.01021   0.00379  -0.0386   0.6644   0.1633
  -4.700  -0.2871   0.01013   0.00372  -0.0384   0.6601   0.1680
  -4.600  -0.2773   0.01005   0.00366  -0.0381   0.6553   0.1731
  -4.500  -0.2673   0.01000   0.00361  -0.0378   0.6502   0.1781
  -4.400  -0.2582   0.00992   0.00354  -0.0374   0.6450   0.1847
  -4.300  -0.2485   0.00983   0.00347  -0.0371   0.6408   0.1922
  -4.200  -0.2393   0.00971   0.00339  -0.0368   0.6361   0.2027
  -4.100  -0.2309   0.00955   0.00330  -0.0363   0.6311   0.2188
  -4.000  -0.2234   0.00937   0.00321  -0.0356   0.6258   0.2439
  -3.900  -0.2158   0.00920   0.00312  -0.0350   0.6209   0.2679
  -3.800  -0.2068   0.00905   0.00306  -0.0346   0.6166   0.2882
  -3.700  -0.1975   0.00894   0.00301  -0.0342   0.6117   0.3042
  -3.600  -0.1879   0.00888   0.00297  -0.0339   0.6065   0.3179
  -3.500  -0.1788   0.00881   0.00293  -0.0335   0.6013   0.3302
  -3.400  -0.1685   0.00876   0.00290  -0.0333   0.5971   0.3397
  -3.300  -0.1585   0.00869   0.00287  -0.0331   0.5928   0.3501
  -3.200  -0.1479   0.00867   0.00284  -0.0329   0.5880   0.3580
  -3.100  -0.1382   0.00861   0.00281  -0.0326   0.5831   0.3670
  -3.000  -0.1281   0.00860   0.00280  -0.0324   0.5781   0.3749
  -2.900  -0.1175   0.00857   0.00278  -0.0322   0.5741   0.3817
  -2.800  -0.1071   0.00852   0.00275  -0.0321   0.5698   0.3892
  -2.700  -0.0965   0.00851   0.00274  -0.0319   0.5650   0.3958
  -2.600  -0.0860   0.00850   0.00272  -0.0317   0.5600   0.4015
  -2.500  -0.0762   0.00848   0.00271  -0.0314   0.5551   0.4083
  -2.400  -0.0653   0.00845   0.00269  -0.0313   0.5513   0.4149
  -2.300  -0.0543   0.00845   0.00268  -0.0313   0.5469   0.4202
  -2.200  -0.0441   0.00842   0.00267  -0.0310   0.5421   0.4266
  -2.100  -0.0340   0.00841   0.00266  -0.0308   0.5372   0.4334
  -2.000  -0.0234   0.00842   0.00265  -0.0306   0.5326   0.4393
  -1.900  -0.0124   0.00840   0.00264  -0.0306   0.5287   0.4446
  -1.800  -0.0020   0.00837   0.00263  -0.0304   0.5242   0.4509
  -1.700   0.0085   0.00837   0.00263  -0.0302   0.5194   0.4566
  -1.600   0.0190   0.00839   0.00262  -0.0300   0.5145   0.4615
  -1.500   0.0297   0.00840   0.00262  -0.0299   0.5102   0.4659
  -1.400   0.0403   0.00837   0.00261  -0.0298   0.5063   0.4718
  -1.300   0.0510   0.00836   0.00261  -0.0296   0.5018   0.4774
  -1.200   0.0616   0.00838   0.00261  -0.0295   0.4970   0.4825
  -1.000   0.0825   0.00839   0.00261  -0.0291   0.4879   0.4932
  -0.900   0.0932   0.00837   0.00261  -0.0290   0.4837   0.4990
  -0.800   0.1039   0.00838   0.00261  -0.0289   0.4788   0.5043
  -0.700   0.1145   0.00842   0.00262  -0.0287   0.4737   0.5088
  -0.600   0.1245   0.00842   0.00262  -0.0284   0.4687   0.5145
  -0.500   0.1353   0.00841   0.00263  -0.0283   0.4647   0.5201
  -0.400   0.1460   0.00841   0.00263  -0.0282   0.4602   0.5258
  -0.300   0.1567   0.00844   0.00264  -0.0281   0.4552   0.5307
